SKU_ID,Product_Name,Category,n_obs,price_cv_pct,elasticity,std_err,p_value,r_squared,significant,classification,data_flags
SKU0048,Cat Litter 10kg,Pet Supplies,27,6.38,-1.5437,0.9754,0.13,0.4432,False,NOT_SIGNIFICANT,OK
SKU0023,Vacuum Cleaner,Home & Kitchen,27,6.1,-1.4955,1.0625,0.1754,0.3802,False,NOT_SIGNIFICANT,OK
SKU0038,Exam Prep Book,Books & Stationery,27,6.29,-1.3827,1.2293,0.2747,0.4187,False,NOT_SIGNIFICANT,OK
SKU0016,Running Jacket,Apparel,27,6.62,-1.2598,0.9733,0.2111,0.319,False,NOT_SIGNIFICANT,OK
SKU0008,Premium Basmati Rice 5kg,Groceries,27,7.58,-1.2307,0.8244,0.1519,0.322,False,NOT_SIGNIFICANT,OK
SKU0014,Cotton T-Shirt,Apparel,27,7.57,-1.2026,0.7915,0.1452,0.505,False,NOT_SIGNIFICANT,OK
SKU0036,Fitness Tracker,Sports & Fitness,27,6.15,-1.1655,1.2011,0.344,0.2377,False,NOT_SIGNIFICANT,OK
SKU0025,Bedsheet King,Home & Kitchen,27,6.8,-1.0452,0.7207,0.1633,0.5922,False,NOT_SIGNIFICANT,OK
SKU0011,Almonds 500g,Groceries,27,6.18,-0.9328,1.0896,0.4026,0.3426,False,NOT_SIGNIFICANT,OK
SKU0042,Art Supplies Kit,Books & Stationery,27,6.38,-0.8678,0.9421,0.3685,0.3122,False,NOT_SIGNIFICANT,OK
SKU0017,Casual Sneakers,Apparel,27,5.1,-0.8295,1.3647,0.5505,0.3414,False,NOT_SIGNIFICANT,OK
SKU0046,Pet Shampoo,Pet Supplies,27,6.42,-0.6891,0.8604,0.4331,0.3046,False,NOT_SIGNIFICANT,OK
SKU0019,Formal Shirt,Apparel,27,6.87,-0.5856,0.9603,0.5492,0.2814,False,NOT_SIGNIFICANT,OK
SKU0041,Pen Set,Books & Stationery,27,6.4,-0.5601,1.2319,0.6545,0.3469,False,NOT_SIGNIFICANT,OK
SKU0030,Beard Trimmer,Beauty & Personal Care,27,5.93,-0.4805,0.9777,0.6287,0.4668,False,NOT_SIGNIFICANT,OK
SKU0022,Nonstick Cookware Set,Home & Kitchen,27,5.92,-0.4558,1.0214,0.6605,0.3718,False,NOT_SIGNIFICANT,OK
SKU0029,Hair Dryer,Beauty & Personal Care,27,7.2,-0.3949,0.6566,0.5547,0.4131,False,NOT_SIGNIFICANT,OK
SKU0032,Running Shoes,Sports & Fitness,27,6.06,-0.3383,0.9218,0.7179,0.7322,False,NOT_SIGNIFICANT,OK
SKU0035,Resistance Bands,Sports & Fitness,27,5.11,-0.2763,1.3103,0.8353,0.3702,False,NOT_SIGNIFICANT,OK
SKU0010,Arabica Coffee 500g,Groceries,27,6.64,0.0429,1.0732,0.9685,0.2623,False,NOT_SIGNIFICANT,OK
